Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L373JUNE2722,L442JUNE822,L114JUNE1022,L114JULY122,L224JUNE2922,L626JUNE622,BLANK3,L239JUNE322
253.9695282,-0.000475627,0.418470234,0.141028121,0.161261365,0.386452556,-0.003037632,0.218656153,0.073356301,0.068468072,0.18884781,0.193628401,0.156490415,0.063502364,0.103768095,-0.000144523,0.23279734
253.024231,-0.000305916,0.423253238,0.142575562,0.162782982,0.389815033,-0.002714187,0.220077351,0.073802471,0.068912618,0.189916119,0.19471252,0.157679588,0.06402383,0.104747519,0.000274348,0.235007092
251.9212494,-0.000418685,0.424639821,0.141917303,0.162863061,0.391010582,-0.002929552,0.222094894,0.074650124,0.069589056,0.192087442,0.196930021,0.159084767,0.064643905,0.106007211,8.50E-05,0.234823689
250.9757538,-0.000387237,0.429134488,0.143918604,0.164000988,0.394253612,-0.003250627,0.223669827,0.075186543,0.069993846,0.193516016,0.198130086,0.159821913,0.065118298,0.106646627,4.57E-05,0.238094106
250.0301819,-0.000381392,0.434607238,0.146070153,0.166656032,0.399161786,-0.002996604,0.225292891,0.075786129,0.070495129,0.194987968,0.199614793,0.161240473,0.06572298,0.107436933,2.28E-05,0.240663186
248.9332886,-0.000238293,0.43803373,0.147169083,0.167681232,0.401705116,-0.002910834,0.227490351,0.076494172,0.071498305,0.197118387,0.201719523,0.163205475,0.066574909,0.109081462,3.63E-05,0.242462322
247.9931488,-0.000287291,0.441868514,0.148909256,0.169410422,0.405513108,-0.002586677,0.230033115,0.077538453,0.07237155,0.19936356,0.203845352,0.16474098,0.067477368,0.110657662,0.000158995,0.245035291
247.0529327,-0.000374098,0.441324949,0.148313269,0.169342712,0.406126231,-0.002978968,0.23115176,0.077882588,0.072344549,0.200602755,0.205021292,0.165524781,0.067679428,0.110937432,0.00036771,0.244492933
245.9559174,-0.000338301,0.446627319,0.15081805,0.171715409,0.411705613,-0.002911194,0.232592925,0.078335203,0.072815642,0.201962903,0.206481978,0.166730821,0.068168901,0.111394748,0.000280669,0.248411194
245.0155182,-0.000475369,0.450961083,0.152495921,0.173787013,0.416453689,-0.002944362,0.235210449,0.079404131,0.073844112,0.20435898,0.20870316,0.16857256,0.069014378,0.113137826,7.45E-05,0.251124054
244.0750275,-0.000517721,0.454627335,0.153962508,0.175703719,0.420775533,-0.00244837,0.238855794,0.080628477,0.075200453,0.207587853,0.21174039,0.171307862,0.070482098,0.115403421,0.000113292,0.254089207
242.9776917,-0.000177438,0.458261699,0.155238986,0.177067146,0.424612522,-0.002241264,0.241088152,0.081354491,0.075616859,0.209130809,0.213374987,0.172906548,0.071038298,0.116312183,6.88E-05,0.256507009
242.0370178,-0.000455923,0.461547881,0.156823546,0.178742245,0.428538978,-0.002520025,0.24280411,0.082192212,0.076175638,0.211002871,0.215327948,0.174182892,0.071387775,0.117339768,4.04E-05,0.25925976
240.9394684,-0.000561931,0.465712726,0.158311263,0.180068284,0.432597131,-0.002613798,0.245809406,0.083327509,0.077192247,0.213857114,0.218200579,0.176442012,0.072502479,0.119182289,0.000134965,0.262161344
239.9986267,-0.000433374,0.472776204,0.161164522,0.183547184,0.439292461,-0.002823555,0.248102546,0.084007509,0.077745408,0.215597734,0.219991848,0.178292394,0.073183626,0.120269351,0.000142526,0.266133517
239.0576935,-0.0004703,0.478524,0.163371861,0.186167404,0.44509697,-0.002573553,0.252345979,0.085625105,0.079638496,0.219619855,0.223829553,0.181329086,0.074911252,0.122789897,0.000108269,0.27002734
237.9598389,-0.000440666,0.485489875,0.165809095,0.189109519,0.45153597,-0.002103002,0.256196737,0.0872958,0.081307448,0.222894579,0.227227882,0.184533462,0.076505408,0.125070676,-1.43E-05,0.273921639
237.0187378,-0.000472007,0.491383374,0.168157592,0.191509888,0.457236588,-0.001880679,0.260043293,0.088956527,0.083028361,0.226145104,0.230823517,0.187578216,0.077994153,0.127706498,-5.95E-06,0.277675092
236.0775452,-0.000492331,0.497917473,0.170937166,0.194373578,0.463508338,-0.001839645,0.263763189,0.090419084,0.084168397,0.229378372,0.234253928,0.190443873,0.079161964,0.129671887,6.89E-05,0.281718522
234.9793854,-0.000580648,0.505218744,0.173630536,0.197274104,0.470291674,-0.001458088,0.267306954,0.091851823,0.085767947,0.232495964,0.237401739,0.19342339,0.080498405,0.131796986,0.000118108,0.286425024
234.0380249,-0.000571083,0.511470914,0.176620767,0.200304061,0.476238459,-0.001304968,0.271666139,0.093376808,0.087404341,0.235996082,0.241149709,0.196707606,0.081951149,0.134095341,-1.26E-05,0.289846748
232.9396667,-0.000644962,0.518626928,0.179446489,0.20301798,0.483652562,-0.001159024,0.275550157,0.094577134,0.088568151,0.239054069,0.244493797,0.200145245,0.082787588,0.136235133,0.000148792,0.294920504
231.9981232,-0.000465336,0.526502013,0.182581529,0.206524909,0.490918279,-0.000585715,0.280581504,0.096739352,0.090953141,0.243320435,0.248791397,0.204599947,0.084899887,0.139580831,0.000180178,0.29964596
231.0565033,-0.000584216,0.532328188,0.184949681,0.20899491,0.496682018,-0.000299811,0.283944517,0.097830258,0.091998227,0.246101424,0.251796991,0.207265705,0.085757002,0.141231075,0.000349342,0.303688943
229.9578552,-0.000642377,0.541663826,0.188598007,0.21302709,0.505552709,0.000355793,0.289314508,0.099836908,0.094354279,0.250414997,0.255916536,0.212052122,0.087663248,0.144399151,0.000264454,0.309517622
