Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L239JUNE822,L442JUNE822,L114JUNE1022,L224JUNE2922,L626JUNE622
722.0425415,0.000120309,0.001220061,0.000730028,-5.54E-06,0.001105883,-0.00118897,-0.000671015,2.01E-05,-0.000427684,-0.000445166,-0.000241345,-0.000835261,-0.000894371
721.0421143,0.0001707,0.001135054,0.00057142,-2.54E-06,0.001229225,-0.000931981,-0.000373167,0.000439378,-2.27E-05,-9.40E-05,-6.42E-05,-0.000696292,-0.000238862
720.0413818,-0.000165846,0.00148209,0.000858191,8.05E-05,0.001364286,-0.000924542,-0.000522117,0.000438238,-6.26E-05,-0.000119991,-0.000156789,-0.00066688,-0.000458095
719.0402832,0.00021514,0.001658519,0.000828805,0.000329602,0.00167754,-0.001166562,-0.000601122,0.000290408,-0.000557226,-0.00032185,-3.00E-05,-0.000779865,-0.000550608
718.0388184,-0.000206573,0.001466947,0.000781397,0.000178728,0.001312095,-0.001020726,-0.000424374,0.000152443,-0.000479764,-0.000115281,-3.23E-05,-0.000685385,-0.000383771
717.0370483,-1.26E-05,0.001376751,0.000793716,3.23E-05,0.001249058,-0.001066589,-0.000457888,0.000310665,-0.000648218,-0.00016243,-0.000293241,-0.000767875,-0.000380305
716.0349731,-5.69E-07,0.00140459,0.000861433,0.000120956,0.001197607,-0.001165529,-0.000484781,0.000148171,-0.000851331,-0.000187219,-0.000389668,-0.000920512,-0.000459388
715.0325317,-3.08E-05,0.001427158,0.00093287,5.23E-05,0.001384905,-0.001090965,-0.000522685,0.000187196,-0.000510999,-0.000202743,-0.00024652,-0.000678355,-0.000480695
714.0297241,0.000109615,0.001674968,0.001143801,0.000277664,0.001431807,-0.001032864,-0.000514153,0.000185616,-0.000608515,-0.000127392,-6.52E-05,-0.000691485,-0.000332973
713.0266113,-5.18E-07,0.001358807,0.000650147,9.50E-05,0.001189976,-0.000820844,-0.000303743,0.000351182,-0.00050438,3.34E-05,-0.000202174,-0.000676443,-0.000396909
712.0231323,3.82E-05,0.001498507,0.000751783,0.000242412,0.001164331,-0.000961892,-0.000465025,0.000170518,-0.000759761,-0.000136967,-0.000524288,-0.000867659,-0.000394013
711.0193481,-1.76E-05,0.001499727,0.000872871,0.000200222,0.001224578,-0.001036427,-0.00027239,0.000358047,-0.000440304,-8.11E-05,-8.19E-05,-0.000714641,-0.000314245
710.0151978,-0.000210505,0.001466012,0.000722509,0.000127688,0.001282886,-0.001153189,-0.000452924,0.000177148,-0.000584939,-0.000182768,-0.000401823,-0.000882901,-0.000503501
709.0107422,-0.000157358,0.001606058,0.000817341,0.000305096,0.001314016,-0.000949494,-0.000355217,0.000283855,-0.00044077,-5.34E-05,-0.000230738,-0.000673186,-0.000369598
708.0059204,-5.26E-05,0.001637367,0.000812699,0.000320379,0.00121557,-0.001365717,-0.000374564,0.000151174,-0.000672152,-0.000119836,-0.000386564,-0.000762552,-0.000531114
707.0007935,-0.000109173,0.002074894,0.000811532,0.000397454,0.001517703,-0.001062664,-0.000480488,0.000335664,-0.000543627,-5.37E-05,-0.000249003,-0.000598899,-0.000451993
705.9953613,8.89E-05,0.002114145,0.000976584,0.000310458,0.001934593,-0.001063129,-0.000365977,0.000378177,-0.000676236,-7.86E-05,-0.000511102,-0.000841772,-0.000596986
704.989563,4.49E-05,0.001991306,0.000726735,0.000286808,0.002186413,-0.001073768,-0.000642997,0.000367995,-0.000784723,-0.000331266,-0.000696809,-0.000984672,-0.000614305
703.9833984,6.56E-05,0.001921671,0.000937592,0.000192324,0.00214419,-0.001256756,-0.000290085,0.000255932,-0.000550608,-4.26E-05,-0.00052858,-0.000786118,-0.000380978
702.9769287,-3.47E-06,0.00217174,0.000995161,0.000475319,0.002650511,-0.001297226,-0.000719551,0.000186548,-0.000819656,-0.000317505,-0.00068859,-0.001019693,-0.000775886
701.9701538,-0.000134741,0.001906018,0.00097015,0.000210815,0.002545903,-0.000823841,-0.000346785,0.000382245,-0.000582923,-5.29E-05,-0.000518652,-0.000714227,-0.000511154
700.9630127,-6.36E-05,0.001861301,0.000864286,0.000277275,0.002497553,-0.001254071,-0.000724875,0.000189086,-0.000775834,-0.00019612,-0.000709886,-0.00083862,-0.000771958
699.9555664,-0.000237775,0.001789035,0.001094387,0.000426474,0.002545279,-0.001381767,-0.000659901,-5.07E-06,-0.000835468,-0.000224115,-0.000737589,-0.001060805,-0.000588662
698.9477539,-0.000204813,0.001868814,0.001001206,0.000596382,0.002337934,-0.001387444,-0.000826529,6.13E-05,-0.001158352,-0.000342492,-0.000705906,-0.000998671,-0.000822085
697.9396362,-0.000230893,0.00163043,0.000731402,0.000639569,0.002225622,-0.0014698,-0.000833504,0.000265386,-0.000924697,-0.000342595,-0.000795937,-0.001064678,-0.000668275
696.9311523,-0.000252108,0.001758625,0.000836949,0.000995809,0.002304519,-0.001258562,-0.000701202,0.00026694,-0.000840429,-0.000355217,-0.000765756,-0.000971913,-0.000805135
696.0665283,0.000122613,0.001900845,0.000959695,0.001125971,0.00213701,-0.001481719,-0.00086678,0.00029046,-0.001062044,-0.000387599,-0.000884864,-0.001276372,-0.000688538
695.0574951,5.46E-05,0.00165922,0.000767991,0.000914919,0.002014607,-0.001425838,-0.000941332,-7.54E-05,-0.000786428,-0.000378754,-0.000861975,-0.001203943,-0.000863267
694.0480957,-6.62E-05,0.001760418,0.00113848,0.00107713,0.002105483,-0.001437035,-0.000922527,-0.00014178,-0.001071805,-0.000349734,-0.001015096,-0.001342027,-0.000845337
693.0383301,-0.000155754,0.001549369,0.000964676,0.000794105,0.001859065,-0.001646536,-0.000809683,0.000229851,-0.001009724,-0.000476972,-0.001010964,-0.001116527,-0.000484057
692.0283203,7.34E-05,0.001879032,0.001173571,0.000566832,0.001906486,-0.001687279,-0.001009156,-2.16E-05,-0.001213959,-0.000587421,-0.001171674,-0.001453392,-0.000925265
691.0179443,-8.88E-05,0.001433209,0.000719579,-1.01E-05,0.001478194,-0.001413453,-0.000865592,0.000232984,-0.000902999,-5.47E-05,-0.000759089,-0.001023515,-0.000682956
690.0072632,-0.000255678,0.001905993,0.001007199,0.000208562,0.001646436,-0.001396217,-0.000708904,0.000162931,-0.000869622,-0.000341923,-0.000929915,-0.000969537,-0.000653439
688.9962158,-3.63E-05,0.002148014,0.00104708,0.000538296,0.001642123,-0.001475992,-0.000815677,0.000344109,-0.000967884,-0.000346061,-0.000961995,-0.00107981,-0.000683731
687.9848633,1.55E-05,0.002507759,0.001022819,0.000506625,0.001686817,-0.001430069,-0.000624076,0.000251296,-0.0011646,-0.000325161,-0.001100983,-0.001239255,-0.000880731
686.9732056,4.55E-05,0.002399307,0.001317781,0.000761819,0.002073412,-0.001649166,-0.001148645,0.000167929,-0.001289896,-0.000315953,-0.001182052,-0.001158662,-0.000849523
685.9611816,8.34E-06,0.001936439,0.000940549,0.000287896,0.001674188,-0.00148626,-0.001049701,0.000110961,-0.001072373,-0.000255419,-0.001018453,-0.001388579,-0.000873342
684.9488525,7.13E-05,0.001712701,0.000992125,0.000437434,0.001551552,-0.001725079,-0.001139609,-0.000153166,-0.001437964,-0.000425047,-0.001316582,-0.001365614,-0.001197954
683.9362183,3.78E-05,0.001918447,0.000996069,0.00041927,0.0015535,-0.001591346,-0.00108735,0.000110884,-0.001084613,-0.000467353,-0.00104309,-0.001244831,-0.000934358
683.0679932,0.000107233,0.002049951,0.001251395,0.00027497,0.001758365,-0.001577264,-0.00069624,4.91E-05,-0.001108987,-0.000438184,-0.001117818,-0.001154738,-0.001091171
682.0547485,2.62E-05,0.002048547,0.001252355,0.000345042,0.001822671,-0.001851451,-0.001105941,-0.00012232,-0.001250974,-0.000602725,-0.000899434,-0.001544145,-0.001072167
681.0411377,-5.34E-05,0.002058586,0.000789255,0.000309189,0.001676345,-0.001661235,-0.000832058,8.82E-05,-0.001129488,-0.000354545,-0.000958379,-0.001299394,-0.000860838
680.0272827,9.97E-06,0.001985299,0.00127437,0.000543998,0.001993049,-0.001769063,-0.001138111,8.65E-05,-0.001331034,-0.000582458,-0.001137595,-0.001324324,-0.001024031
679.0130615,2.86E-05,0.001906486,0.000837234,0.000327529,0.001733674,-0.00205869,-0.001183136,-0.000249831,-0.00148564,-0.000848438,-0.001129436,-0.001471761,-0.001521394
677.9985352,-6.91E-05,0.001958359,0.001135366,0.000426888,0.001988472,-0.001718169,-0.001338311,-0.000155599,-0.001542649,-0.000488194,-0.001057034,-0.001525418,-0.00129036
676.9837036,-0.00028279,0.002197028,0.001251343,0.000475889,0.002068912,-0.001725595,-0.00117503,-0.000206055,-0.001373561,-0.000553452,-0.000739088,-0.001524851,-0.001028887
675.9685059,-0.000106844,0.002082879,0.000961251,0.000464435,0.001944318,-0.001815982,-0.001080739,-0.000169468,-0.001239152,-0.000386616,-0.000698256,-0.001453031,-0.000994642
674.9530029,9.18E-05,0.001906721,0.00091261,0.000218325,0.002094116,-0.001840573,-0.001261608,8.50E-05,-0.001447974,-0.000350562,-0.001010137,-0.001482493,-0.001187318
673.9371948,0.000169483,0.001629598,0.000678405,0.000187248,0.001707139,-0.001893927,-0.001019693,-1.81E-05,-0.00134595,-0.00067422,-0.000938232,-0.001520414,-0.001182671
673.0662842,-0.000248589,0.002152723,0.001133212,0.000554935,0.002085116,-0.001781077,-0.000722497,-0.000225615,-0.001027285,-0.000335301,-0.000607688,-0.001239617,-0.000828389
672.0498657,0.00014237,0.002110035,0.000694558,0.000416912,0.002106393,-0.001966293,-0.000965715,5.06E-05,-0.001559983,-0.000642739,-0.000906667,-0.001678615,-0.001383934
671.0331421,-4.31E-05,0.002603373,0.001427106,0.000715326,0.002612566,-0.001774941,-0.000847197,0.000141153,-0.001269609,-0.000527391,-0.001019589,-0.001502563,-0.001155512
