Baseline 100%T,,BLANK,,L239_JUNE_3_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
636.022644,0.01988177747,636.022644,7.121813542E-5,636.022644,0.001213234034,
634.9958496,0.01981463283,634.9958496,0.0001803850027,634.9958496,0.001321675722,
633.96875,0.02003163099,633.96875,1.118288219E-5,633.96875,0.001069941442,
632.9413452,0.02018370666,632.9413452,-0.0001152290424,632.9413452,0.0009964577621,
632.0604248,0.02010642737,632.0604248,-0.0001274955575,632.0604248,0.001091506216,
631.0324707,0.02005638182,631.0324707,5.715998122E-5,631.0324707,0.001281042583,
630.0042114,0.0201680325,630.0042114,8.760695346E-5,630.0042114,0.001150834607,
628.975647,0.02013316192,628.975647,0.0001102882306,628.975647,0.001283586957,
627.9467773,0.02010241523,627.9467773,0.000140505872,627.9467773,0.001201371197,
627.0646973,0.02012966387,627.0646973,0.0001072329178,627.0646973,0.001410640427,
626.0352783,0.02033344656,626.0352783,8.878977496E-6,626.0352783,0.001182136941,
625.0055542,0.02047018707,625.0055542,-5.161355512E-5,625.0055542,0.001127320225,
623.9755859,0.02051110938,623.9755859,-0.0001755749108,623.9755859,0.001156518701,
622.9452515,0.02043911815,622.9452515,0.0001506824774,622.9452515,0.001352419262,
622.0619507,0.02044080012,622.0619507,0.0001449338306,622.0619507,0.001299865777,
621.0310669,0.0204861965,621.0310669,-5.125391453E-6,621.0310669,0.001404511509,
619.999939,0.02052872255,619.999939,2.837194734E-5,619.999939,0.001238648081,
618.9685059,0.0205378402,618.9685059,0.0002032783086,618.9685059,0.00136914209,
617.9368286,0.0205691345,617.9368286,0.0002957443066,617.9368286,0.001629156643,
617.0522461,0.02068238333,617.0522461,0.0001558356016,617.0522461,0.001393292798,
616.0200195,0.02076008916,616.0200195,0.0001484814129,616.0200195,0.001533522853,
614.9874268,0.02074939013,614.9874268,0.0002059717081,614.9874268,0.001270917361,
613.9545898,0.02091296203,613.9545898,0.0002271051926,613.9545898,0.001301501528,
613.0690918,0.02081192844,613.0690918,7.114046457E-5,613.0690918,0.001429235563,
612.0357056,0.02068555914,612.0357056,0.0001651579951,612.0357056,0.001581947668,
611.0020142,0.02092722245,611.0020142,0.0001528317662,611.0020142,0.001401550951,
609.9680786,0.02082480118,609.9680786,0.0001780542952,609.9680786,0.001456843922,
608.9338379,0.02096180432,608.9338379,5.837678327E-5,608.9338379,0.001485648798,
608.0471191,0.02075096592,608.0471191,0.0003523732885,608.0471191,0.001881683362,
607.0123291,0.02092222497,607.0123291,0.0001773809927,607.0123291,0.001734375604,
605.9772339,0.02080299333,605.9772339,0.0002370507282,605.9772339,0.001727982191,
604.9418945,0.02072902583,604.9418945,0.0002856420178,604.9418945,0.001662806259,
604.0542603,0.02074322663,604.0542603,0.0002569683711,604.0542603,0.001739573549,
603.0183716,0.02080302127,603.0183716,0.0002223656193,603.0183716,0.00154368009,
601.9821777,0.02084709704,601.9821777,0.0002706962696,601.9821777,0.001588416868,
600.9457397,0.02076152712,600.9457397,0.0003554303257,600.9457397,0.001757298945,
600.0571289,0.02080437914,600.0571289,0.0002577712876,600.0571289,0.001615203917,
599.0201416,0.02076361887,599.0201416,0.0002807464043,599.0201416,0.001620764146,
597.9828491,0.0204958301,597.9828491,0.0003095511638,597.9828491,0.00180320139,
596.9453125,0.02045382559,596.9453125,0.0002724835067,596.9453125,0.00174308219,
596.0557861,0.02045132779,596.0557861,0.0004029466654,596.0557861,0.001683984767,
595.0177002,0.02039383538,595.0177002,0.0003764933499,595.0177002,0.001726682764,
593.9793701,0.0205687806,593.9793701,6.399482663E-5,593.9793701,0.001453597331,
592.9407349,0.02025345713,592.9407349,0.0002815752814,592.9407349,0.001833173097,
592.050293,0.02024757117,592.050293,0.0003388759505,592.050293,0.001826050458,
591.0111084,0.02034758031,591.0111084,0.0001928932907,591.0111084,0.001654542983,
589.9716797,0.02029473893,589.9716797,7.473921869E-5,589.9716797,0.001561319688,
588.9320068,0.02020304091,588.9320068,0.0002618637227,588.9320068,0.001706021954,
