Baseline 100%T,,BLANK,,L470_JUNE_20_22,,L377_JUNE_24_2022,,L375_EPI_JUNE_17_2022,,L222_JUNE_28_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
733.9801636,0.009876683354,733.9801636,0.0001405835646,733.9801636,0.0008540925919,733.9801636,0.0007535986369,733.9801636,-0.0002030020842,733.9801636,0.0006547871162,
732.9846802,0.009034385905,732.9846802,0.00013941832,732.9846802,0.0009618998156,732.9846802,0.0004873696307,732.9846802,-0.0002054342185,732.9846802,0.0008537553949,
731.9888306,0.008256557398,731.9888306,2.391929411E-5,731.9888306,0.0007609889726,731.9888306,0.0004505459219,731.9888306,-0.0002198197762,731.9888306,0.0007384552155,
730.9926758,0.007272855379,730.9926758,8.424111002E-5,730.9926758,0.001004552818,730.9926758,0.0003377101675,730.9926758,-0.0001549257722,730.9926758,0.0007128630532,
729.9961548,0.006157976575,729.9961548,0.0001739626605,729.9961548,0.001194388606,729.9961548,0.0007082737284,729.9961548,5.146435433E-5,729.9961548,0.0008483605343,
728.9992676,0.005329300184,728.9992676,-2.981961188E-5,728.9992676,0.000943584193,728.9992676,0.0006516242865,728.9992676,-4.208854443E-5,728.9992676,0.0008329544798,
728.0020752,0.004298653454,728.0020752,-6.28983471E-5,728.0020752,0.001034313813,728.0020752,0.0007000027108,728.0020752,-1.37193465E-5,728.0020752,0.0007428893005,
727.0045166,0.003435365856,727.0045166,0.0001910027786,727.0045166,0.001285274513,727.0045166,0.0006645090762,727.0045166,0.0001612736378,727.0045166,0.00111865194,
726.0065918,0.002692210488,726.0065918,2.60161778E-5,726.0065918,0.001045782818,726.0065918,0.0007748884382,726.0065918,-0.0001410556142,726.0065918,0.001131550642,
725.0083618,0.001826414373,725.0083618,-1.397819779E-5,725.0083618,0.001146889525,725.0083618,0.0005343820667,725.0083618,-0.0003375253873,725.0083618,0.001053619315,
724.0097656,0.001060080598,724.0097656,5.247402805E-5,724.0097656,0.001192364027,724.0097656,0.0008531588246,724.0097656,5.216335921E-5,724.0097656,0.001362598268,
723.0108643,0.0002323887311,723.0108643,0.0001564829872,723.0108643,0.001090675825,723.0108643,0.0007019991172,723.0108643,-1.449590036E-5,723.0108643,0.001243242994,
722.0115967,-0.0004229260376,722.0115967,3.440381624E-5,722.0115967,0.001220061095,722.0115967,0.0007300280267,722.0115967,-5.539561698E-6,722.0115967,0.001105883392,
721.0119629,-0.001020984026,721.0119629,3.336829468E-5,721.0119629,0.001135054394,721.0119629,0.0005714202416,721.0119629,-2.536817419E-6,721.0119629,0.001229224727,
720.0120239,-0.001915730769,720.0120239,2.583496462E-5,720.0120239,0.001482090331,720.0120239,0.0008581906441,720.0120239,8.046103903E-5,720.0120239,0.001364286174,
719.0117188,-0.002502266783,719.0117188,0.000192453037,719.0117188,0.001658518682,719.0117188,0.0008288047975,719.0117188,0.0003296016366,719.0117188,0.001677540131,
718.0111084,-0.002796858316,718.0111084,-3.820600978E-5,718.0111084,0.001466947491,718.0111084,0.0007813974516,718.0111084,0.0001787276124,718.0111084,0.001312094857,
