Baseline 100%T,,BLANK,,ELA_109,,ELA_930,,ELA_903,,ELA_1010,,ELA_105,,ELA_913,,ELA_909,,ELA_CTL2_L222_224,,ELA_948,,ELA_944,,ELA_CTL1_L239,,ELA_CTL2_L239,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
754.9802856,0.02443549782,754.9802856,-0.004007241223,754.9802856,-0.004222068936,754.9802856,-0.004011806566,754.9802856,-0.002887691138,754.9802856,-0.003582504345,754.9802856,-0.002770932158,754.9802856,-0.002857810119,754.9802856,-0.003784403903,754.9802856,-0.003786610672,754.9802856,-0.003092432627,754.9802856,-0.003892937908,754.9802856,-0.00367163308,754.9802856,-0.002884194022,
753.9904175,0.02410769649,753.9904175,-0.003827102249,753.9904175,-0.003961687908,753.9904175,-0.003820430953,753.9904175,-0.002525223885,753.9904175,-0.003461258253,753.9904175,-0.002683882369,753.9904175,-0.003196411533,753.9904175,-0.003782248124,753.9904175,-0.004004420247,753.9904175,-0.003005755832,753.9904175,-0.004033709411,753.9904175,-0.003466548398,753.9904175,-0.003153445665,
753.0001831,0.02442846075,753.0001831,-0.004094949458,753.0001831,-0.004045865964,753.0001831,-0.003993237391,753.0001831,-0.00284531177,753.0001831,-0.003756021382,753.0001831,-0.002632632153,753.0001831,-0.00336843892,753.0001831,-0.004172897432,753.0001831,-0.004057406448,753.0001831,-0.003132731887,753.0001831,-0.003760589287,753.0001831,-0.004221864045,753.0001831,-0.003082614159,
752.0095825,0.02382350899,752.0095825,-0.00391505193,752.0095825,-0.004497512244,752.0095825,-0.004201560281,752.0095825,-0.002895508427,752.0095825,-0.003576240037,752.0095825,-0.002730341861,752.0095825,-0.003302780678,752.0095825,-0.004063920118,752.0095825,-0.004158642143,752.0095825,-0.003129956312,752.0095825,-0.004082435276,752.0095825,-0.003944860306,752.0095825,-0.003034547204,
751.0186768,0.02385282516,751.0186768,-0.004221915267,751.0186768,-0.004390615504,751.0186768,-0.004159154836,751.0186768,-0.003009971697,751.0186768,-0.003791845636,751.0186768,-0.003062771168,751.0186768,-0.003052694956,751.0186768,-0.003815144999,751.0186768,-0.003958661109,751.0186768,-0.002878331114,751.0186768,-0.004237501416,751.0186768,-0.004042429384,751.0186768,-0.003337974427,
750.0273438,0.02358812653,750.0273438,-0.004189613275,750.0273438,-0.004516521469,750.0273438,-0.004397790413,750.0273438,-0.003186852671,750.0273438,-0.003970767837,750.0273438,-0.002720721066,750.0273438,-0.003151698038,750.0273438,-0.003893296933,750.0273438,-0.004015141167,750.0273438,-0.003322150325,750.0273438,-0.004156129435,750.0273438,-0.004033093806,750.0273438,-0.003369877348,
749.0357056,0.0236223191,749.0357056,-0.004342180677,749.0357056,-0.004739547148,749.0357056,-0.004585326184,749.0357056,-0.003226629226,749.0357056,-0.004085307475,749.0357056,-0.002793823369,749.0357056,-0.003552003531,749.0357056,-0.004349202383,749.0357056,-0.004475940485,749.0357056,-0.00332821277,749.0357056,-0.004153052811,749.0357056,-0.004253804684,749.0357056,-0.003607868915,
748.0437622,0.02315580472,748.0437622,-0.004307888448,748.0437622,-0.004560172558,748.0437622,-0.004302813206,748.0437622,-0.002888668329,748.0437622,-0.003789843991,748.0437622,-0.003061897121,748.0437622,-0.003479028586,748.0437622,-0.004534402397,748.0437622,-0.004267492797,748.0437622,-0.003226063913,748.0437622,-0.004315013532,748.0437622,-0.004087410402,748.0437622,-0.003283050377,
747.0513916,0.02293688618,747.0513916,-0.004200585652,747.0513916,-0.004298097454,747.0513916,-0.004432690796,747.0513916,-0.003221901366,747.0513916,-0.003873644862,747.0513916,-0.003266813466,747.0513916,-0.003203349654,747.0513916,-0.003968254197,747.0513916,-0.004173153546,747.0513916,-0.003259105608,747.0513916,-0.004238270223,747.0513916,-0.003824023064,747.0513916,-0.00353551982,
746.0586548,0.0225523226,746.0586548,-0.004008574877,746.0586548,-0.004623387009,746.0586548,-0.004533685278,746.0586548,-0.002842585789,746.0586548,-0.004083256237,746.0586548,-0.002851740923,746.0586548,-0.003480620915,746.0586548,-0.004141360987,746.0586548,-0.003979591653,746.0586548,-0.003377274843,746.0586548,-0.004232220352,746.0586548,-0.004143822473,746.0586548,-0.003322458593,
745.0656128,0.02241438068,745.0656128,-0.004188690335,745.0656128,-0.004510680214,745.0656128,-0.004373189993,745.0656128,-0.002867324976,745.0656128,-0.003963072784,745.0656128,-0.002826795215,745.0656128,-0.003549949499,745.0656128,-0.004060381092,745.0656128,-0.004059868399,745.0656128,-0.003425406758,745.0656128,-0.004095308483,745.0656128,-0.00399646908,745.0656128,-0.003515543183,
743.9302979,0.02212478966,743.9302979,-0.004373702221,743.9302979,-0.004626921844,743.9302979,-0.004368730821,743.9302979,-0.003123891074,743.9302979,-0.004135719966,743.9302979,-0.003199341008,743.9302979,-0.003522014013,743.9302979,-0.004118232522,743.9302979,-0.004265749827,743.9302979,-0.003415647196,743.9302979,-0.00451534288,743.9302979,-0.004150129855,743.9302979,-0.003371624043,
742.9364624,0.02173805982,742.9364624,-0.004131001886,742.9364624,-0.004674864002,742.9364624,-0.004286665935,742.9364624,-0.003339053132,742.9364624,-0.003987030126,742.9364624,-0.003327185288,742.9364624,-0.003490584204,742.9364624,-0.003994057886,742.9364624,-0.004150078632,742.9364624,-0.003592208959,742.9364624,-0.004235194065,742.9364624,-0.004072383046,742.9364624,-0.00360535318,
741.9423218,0.02135102265,741.9423218,-0.00407797331,741.9423218,-0.004529381637,741.9423218,-0.004401736893,741.9423218,-0.003038403112,741.9423218,-0.004117925186,741.9423218,-0.003055316862,741.9423218,-0.003331706394,741.9423218,-0.004252728075,741.9423218,-0.004158795811,741.9423218,-0.003351845546,741.9423218,-0.004377495032,741.9423218,-0.004124848172,741.9423218,-0.003364175092,
740.9478149,0.0207642708,740.9478149,-0.003824331099,740.9478149,-0.004495257977,740.9478149,-0.004254214931,740.9478149,-0.002924564062,740.9478149,-0.003667320823,740.9478149,-0.002967090113,740.9478149,-0.003388524987,740.9478149,-0.004186075181,740.9478149,-0.004256880842,740.9478149,-0.00327595952,740.9478149,-0.003966971766,740.9478149,-0.003893861547,740.9478149,-0.00334619428,
739.9529419,0.02077562176,739.9529419,-0.004274874926,739.9529419,-0.004725976381,739.9529419,-0.004745845683,739.9529419,-0.003154627746,739.9529419,-0.0043113227,739.9529419,-0.00333098718,739.9529419,-0.003796053817,739.9529419,-0.004356737249,739.9529419,-0.004353405442,739.9529419,-0.003283461556,739.9529419,-0.004354789387,739.9529419,-0.004513242282,739.9529419,-0.003951734863,
738.9577637,0.01994540915,738.9577637,-0.004040890373,738.9577637,-0.004564424511,738.9577637,-0.004453239962,738.9577637,-0.003290808992,738.9577637,-0.004167000297,738.9577637,-0.002965290332,738.9577637,-0.003517340636,738.9577637,-0.004213096574,738.9577637,-0.00422617048,738.9577637,-0.003269279841,738.9577637,-0.004434279166,738.9577637,-0.004136438016,738.9577637,-0.003666191362,
737.9621582,0.01961981319,737.9621582,-0.004156693351,737.9621582,-0.004807292484,737.9621582,-0.004419366363,737.9621582,-0.003407120239,737.9621582,-0.003976718988,737.9621582,-0.003438042477,737.9621582,-0.003859995632,737.9621582,-0.004268107936,737.9621582,-0.004594752099,737.9621582,-0.003681130009,737.9621582,-0.0044368417,737.9621582,-0.004541831557,737.9621582,-0.003723017406,
736.9663086,0.01863692142,736.9663086,-0.004083204549,736.9663086,-0.004462668672,736.9663086,-0.00429015141,736.9663086,-0.003025961341,736.9663086,-0.003898479277,736.9663086,-0.002987400396,736.9663086,-0.00332985702,736.9663086,-0.003982259426,736.9663086,-0.004095359705,736.9663086,-0.003326825798,736.9663086,-0.004076845013,736.9663086,-0.00403170893,736.9663086,-0.003367462894,
735.9700317,0.01782138273,735.9700317,-0.004030785989,735.9700317,-0.004100539722,735.9700317,-0.003936087247,735.9700317,-0.002688513137,735.9700317,-0.003802777035,735.9700317,-0.003007658059,735.9700317,-0.003283923957,735.9700317,-0.004135104362,735.9700317,-0.003900634358,735.9700317,-0.003283050377,735.9700317,-0.003916437272,735.9700317,-0.00389257865,735.9700317,-0.003354722401,
