BLANK,,ELA_905,,ELA_923,,ELA_110,,ELA_104,,ELA_937,,ELA_121,,ELA_PRE-FILTER_1,,ELA_915,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
758.967041,-0.0001018752228,758.967041,5.87392351E-5,758.967041,-0.0003238162608,758.967041,-0.0006073776167,758.967041,-0.0001866494858,758.967041,4.916023681E-5,758.967041,-0.0002823758696,758.967041,-0.000693655631,758.967041,-0.0002152661182,
757.9785767,0.0003883595637,757.9785767,0.0005490258918,757.9785767,-6.496891729E-5,757.9785767,4.108297435E-5,757.9785767,-0.0001976720378,757.9785767,0.0001878951152,757.9785767,0.0001926084224,757.9785767,6.495275011E-5,757.9785767,6.143174687E-5,
756.9898071,0.0004056413018,756.9898071,0.0005612855894,756.9898071,-4.353801705E-5,756.9898071,-0.0002771502768,756.9898071,0.0001051356448,756.9898071,0.0004840006877,756.9898071,-0.00042406391,756.9898071,-9.028087516E-5,756.9898071,-0.0001804912317,
756.0006714,0.0005761117791,756.0006714,0.0003237988276,756.0006714,-0.0001581344695,756.0006714,-0.0004889176926,756.0006714,-9.732033504E-5,756.0006714,7.820855535E-5,756.0006714,-0.0003900816082,756.0006714,-0.0004453208821,756.0006714,-0.0002263914357,
755.0111694,0.0005695280852,755.0111694,0.0003845509491,755.0111694,-0.000306226575,755.0111694,-6.481362652E-5,755.0111694,0.0001300705771,755.0111694,0.0002560877183,755.0111694,2.604206566E-5,755.0111694,3.468733667E-6,755.0111694,-8.872803301E-5,
754.0213013,0.0006465689512,754.0213013,0.0004311635566,754.0213013,0.0003972983104,754.0213013,0.0001935925247,754.0213013,0.0002802542294,754.0213013,0.0003487722424,754.0213013,0.0002964437299,754.0213013,-0.0001913069427,754.0213013,-5.161355512E-5,
753.0310669,0.0004395849246,753.0310669,3.129726247E-5,753.0310669,-0.0004705072497,753.0310669,-0.0005281666527,753.0310669,-0.0004978124052,753.0310669,-0.0001995867206,753.0310669,-0.0005040178658,753.0310669,-0.0007629137835,753.0310669,-0.0003456471895,
752.0404663,0.0003314668429,752.0404663,7.129580626E-5,752.0404663,-5.534067532E-5,752.0404663,-0.0003121243499,752.0404663,-0.0003530446265,752.0404663,0.0001896561298,752.0404663,-0.0002847040887,752.0404663,-0.0002904986904,752.0404663,-0.0003379909613,
751.0495605,0.0004831455008,751.0495605,0.0004801652976,751.0495605,-0.0002349810093,751.0495605,-0.000159842326,751.0495605,-8.862451068E-5,751.0495605,0.0005389176658,751.0495605,-0.0002230279933,751.0495605,-0.0004175469803,751.0495605,-3.240802471E-5,
750.0582275,0.0004837674496,750.0582275,0.0004532149469,750.0582275,-9.861434228E-5,750.0582275,-0.0003082442272,750.0582275,0.0001334885601,750.0582275,9.568507812E-5,750.0582275,-6.212587778E-6,750.0582275,-0.0003320935066,750.0582275,-7.123234536E-5,
749.0665894,0.0002278562897,749.0665894,0.0001670742931,749.0665894,-0.0003988231474,749.0665894,-0.0005805446999,749.0665894,-0.0002970692876,749.0665894,-5.244180647E-5,749.0665894,-0.0004748513747,749.0665894,-0.0008439938538,749.0665894,-0.0005104300799,
747.9328613,0.0002989822824,747.9328613,0.0003143435169,747.9328613,-0.0002461058029,747.9328613,-0.0004246328608,747.9328613,-1.10272822E-5,747.9328613,0.0001805921784,747.9328613,0.0001740921434,747.9328613,-0.0003183842346,747.9328613,-1.723971218E-5,
746.9404907,-1.801626058E-5,746.9404907,-0.0001401240297,746.9404907,-0.0003501477186,746.9404907,-0.0007116948254,746.9404907,-0.0004442865029,746.9404907,-5.901599798E-5,746.9404907,-0.0007419824833,746.9404907,-0.0007857562159,746.9404907,-0.0004393214767,
745.9477539,0.0003471919335,745.9477539,0.0002853052865,745.9477539,-0.0001359835878,745.9477539,-0.0004645598819,745.9477539,-0.0004740239237,745.9477539,0.000131494744,745.9477539,-8.613996033E-5,745.9477539,-0.0002067278983,745.9477539,-0.0003172460711,
744.9545898,0.0001519254292,744.9545898,3.409315832E-5,744.9545898,-0.0001985517592,744.9545898,-0.0005887653679,744.9545898,-0.0001982930116,744.9545898,-6.005129399E-5,744.9545898,-0.0001163159613,744.9545898,-0.0003852194059,744.9545898,-0.0002199750161,
743.9611816,0.0003353527281,743.9611816,-0.0001562195976,743.9611816,-0.0001885124802,743.9611816,-0.0006619172636,743.9611816,-0.0003459058353,743.9611816,5.180091102E-5,743.9611816,-0.0002819102083,743.9611816,-0.0006121339393,743.9611816,-0.0005289939581,
742.9673462,0.0003247832356,742.9673462,-7.77027235E-5,742.9673462,-0.0005168939242,742.9673462,-0.0008027580916,742.9673462,-0.0002547467302,742.9673462,0.0001034008674,742.9673462,-0.0003027602797,742.9673462,-0.0006279535592,742.9673462,-0.0004885040107,
741.9732056,0.000403283484,741.9732056,0.00026385815,741.9732056,-0.0002686649968,741.9732056,-0.000423960475,741.9732056,-0.0001022375436,741.9732056,0.0001556543284,741.9732056,-0.0002797889465,741.9732056,-0.0002428977605,741.9732056,-0.0003330246836,
740.9786987,0.0001790901588,740.9786987,-6.362304703E-5,740.9786987,-0.0008072538767,740.9786987,-0.0008239965537,740.9786987,-0.0004773336987,740.9786987,-0.0001214399817,740.9786987,-0.0005400078371,740.9786987,-0.0006427387125,740.9786987,-0.000801672868,
739.9838257,0.0005084908917,739.9838257,8.708913083E-5,739.9838257,-0.0001131069512,739.9838257,-0.0003311623295,739.9838257,-4.560868183E-5,739.9838257,0.0002525910677,739.9838257,-0.0001826647494,739.9838257,-0.0003730118915,739.9838257,-0.0003405775351,
738.9886475,0.0001195578589,738.9886475,-0.0001707102929,738.9886475,-0.0002855318889,738.9886475,-0.0003260925296,738.9886475,-0.0001399169996,738.9886475,0.000162128199,738.9886475,-0.0003221090592,738.9886475,-0.0004071506846,738.9886475,-0.0003150732373,
737.993042,0.0003474768891,737.993042,4.504182016E-6,737.993042,-0.0001452477591,737.993042,-0.0006397920661,737.993042,-0.0002360158833,737.993042,0.0001086052143,737.993042,-9.913194663E-5,737.993042,-0.0004478550982,737.993042,-0.0001164194837,
