BLANK,,ELA_946,,ELA_1004,,ELA_949,,ELA_1015,,ELA_932,,ELA_922,,ELA_1011,,ELA_947,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
757.9785767,0.0002335542231,757.9785767,0.005545366555,757.9785767,0.0004230791819,757.9785767,0.000560819055,757.9785767,-0.000634157157,757.9785767,-0.0002008286683,757.9785767,0.002334811259,757.9785767,0.002995945746,757.9785767,0.0004268622433,
756.9898071,-0.0004252017825,756.9898071,0.004890840035,756.9898071,3.649936843E-6,756.9898071,0.0001152596233,756.9898071,-0.0007857562159,756.9898071,-0.0005321482313,756.9898071,0.001679255278,756.9898071,0.002324088942,756.9898071,0.0002064119908,
756.0006714,0.0002203972836,756.0006714,0.005129423924,756.0006714,0.0003441608569,756.0006714,0.0003898882132,756.0006714,-0.000486538891,756.0006714,-6.056894199E-5,756.0006714,0.001878147596,756.0006714,0.002972070826,756.0006714,0.0004463480727,
755.0111694,0.0003316999937,755.0111694,0.005088694859,755.0111694,0.0001391075784,755.0111694,0.0006913688267,755.0111694,-0.0006884349859,755.0111694,-5.751481149E-5,755.0111694,0.002050913638,755.0111694,0.002900922671,755.0111694,0.0004501313088,
754.0213013,0.0002059976105,754.0213013,0.005399117246,754.0213013,0.000534744875,754.0213013,0.0006231856532,754.0213013,-0.0005380429211,754.0213013,0.0001079579015,754.0213013,0.002316932194,754.0213013,0.003126551863,754.0213013,0.0005130003556,
753.0310669,-1.299456198E-5,753.0310669,0.00470089959,753.0310669,5.172324381E-5,753.0310669,-0.0001378985471,753.0310669,-0.0009172577411,753.0310669,-0.0006587122916,753.0310669,0.002169866813,753.0310669,0.002630613744,753.0310669,0.0002458827512,
752.0404663,-0.0003048297076,752.0404663,0.004893588834,752.0404663,0.0001253579539,752.0404663,0.0002531608916,752.0404663,-0.0008963855216,752.0404663,-0.0005368536804,752.0404663,0.001766395872,752.0404663,0.002635978628,752.0404663,-3.986420779E-6,
751.0495605,-0.0003878056887,751.0495605,0.005089061335,751.0495605,-0.0001259946148,751.0495605,6.82925529E-5,751.0495605,-0.0009656113107,751.0495605,-0.0005997259868,751.0495605,0.001681490103,751.0495605,0.002584884176,751.0495605,0.0002843468974,
750.0582275,-0.000314504141,750.0582275,0.00483311899,750.0582275,-0.0002766328689,750.0582275,-0.0002109711641,750.0582275,-0.0007888052496,750.0582275,-0.0007300433936,750.0582275,0.001808036235,750.0582275,0.002310816431,750.0582275,-7.987675053E-5,
749.0665894,-0.0003548034292,749.0665894,0.004715344403,749.0665894,5.050645996E-5,749.0665894,1.157118186E-5,749.0665894,-0.001018866431,749.0665894,-0.0003895643749,749.0665894,0.001463622903,749.0665894,0.002404382918,749.0665894,-0.0001073099629,
747.9328613,-7.734038809E-5,747.9328613,0.004912176635,747.9328613,9.855906683E-5,747.9328613,0.0001874289592,747.9328613,-0.0009220106876,747.9328613,-0.0004758856667,747.9328613,0.001844351296,747.9328613,0.002105691005,747.9328613,0.0003343423887,
746.9404907,4.149719098E-5,746.9404907,0.005162245594,746.9404907,-0.0001625852165,746.9404907,0.0003406634787,746.9404907,-0.001122465124,746.9404907,-0.0007452901918,746.9404907,0.001944343909,746.9404907,0.002563297283,746.9404907,1.012153189E-5,
745.9477539,0.0001505271066,745.9477539,0.004944249056,745.9477539,-0.0003044675395,745.9477539,0.0001261606521,745.9477539,-0.0007543346728,745.9477539,-0.0005023630802,745.9477539,0.00167117361,745.9477539,0.002646422246,745.9477539,0.0004309562501,
744.9545898,0.0003381246934,744.9545898,0.005448787939,744.9545898,-9.752737969E-5,744.9545898,0.0002432149922,744.9545898,-0.0008650752716,744.9545898,-0.0004587676085,744.9545898,0.001884751138,744.9545898,0.002624571789,744.9545898,0.0003125560761,
743.9611816,6.223432865E-5,743.9611816,0.00536609441,743.9611816,0.0001085275362,743.9611816,0.0002809277212,743.9611816,-0.0008077189559,743.9611816,-0.0005826128181,743.9611816,0.002126500942,743.9611816,0.00264269812,743.9611816,0.0003982310591,
742.9673462,1.219246224E-5,742.9673462,0.004576804116,742.9673462,-0.000361476501,742.9673462,-0.0002643188345,742.9673462,-0.001033896464,742.9673462,-0.0007479776978,742.9673462,0.001433053287,742.9673462,0.002418673597,742.9673462,-0.0002798924106,
741.9732056,-0.0002626631467,741.9732056,0.004838616122,741.9732056,-0.0005288905813,741.9732056,-0.0003738395171,741.9732056,-0.001240597572,741.9732056,-0.0005984851741,741.9732056,0.001376958448,741.9732056,0.002037155442,741.9732056,-8.417301433E-5,
740.9786987,0.0001195837467,740.9786987,0.005282106344,740.9786987,5.67716379E-5,740.9786987,8.760695346E-5,740.9786987,-0.0009727915749,740.9786987,-0.0005714966101,740.9786987,0.001748462208,740.9786987,0.002252292121,740.9786987,-0.0002132480149,
739.9838257,-3.240802471E-5,739.9838257,0.005051950458,739.9838257,-0.0002474511275,739.9838257,-0.0001438503823,739.9838257,-0.001006211853,739.9838257,-0.000452199456,739.9838257,0.001539315796,739.9838257,0.00242122449,739.9838257,6.826666504E-5,
738.9886475,0.0003167526447,738.9886475,0.005167406052,738.9886475,0.0001325046032,738.9886475,-1.573838381E-5,738.9886475,-0.000863421883,738.9886475,-0.00041170232,738.9886475,0.001964236144,738.9886475,0.002466390142,738.9886475,0.0002032783086,
737.993042,0.0001158033774,737.993042,0.004747218918,737.993042,-0.0003435262188,737.993042,-0.0001038420887,737.993042,-0.0009739796515,737.993042,-0.0005942457356,737.993042,0.001732712262,737.993042,0.001879577525,737.993042,-0.0001509924914,
736.9971924,6.893980753E-5,736.9971924,0.004995857365,736.9971924,3.613831359E-5,736.9971924,0.0001654687367,736.9971924,-0.000907183392,736.9971924,-0.0003584244987,736.9971924,0.001688064658,736.9971924,0.002226038137,736.9971924,2.857905019E-5,
736.0009155,3.494619705E-6,736.0009155,0.005133274011,736.0009155,-1.542776226E-5,736.0009155,-7.765721421E-6,736.0009155,-0.0007972286548,736.0009155,-0.0003091754625,736.0009155,0.001685491996,736.0009155,0.002292157616,736.0009155,4.279161294E-5,
735.0043335,-8.44835813E-5,735.0043335,0.004877043888,735.0043335,-0.0001544082334,735.0043335,-0.0001247006876,735.0043335,-0.0007220321568,735.0043335,-0.0005653955159,735.0043335,0.001451441552,735.0043335,0.002081084531,735.0043335,0.0001223543222,
734.0073853,-8.934917423E-5,734.0073853,0.004705269821,734.0073853,-0.0002331182186,734.0073853,-0.0004433038412,734.0073853,-0.001029971172,734.0073853,-0.0007338680443,734.0073853,0.001438948908,734.0073853,0.002005921444,734.0073853,-0.000241862901,
733.0100708,0.0001629568578,733.0100708,0.005167641677,733.0100708,0.0002101931459,733.0100708,5.954180961E-5,733.0100708,-0.0007575906347,733.0100708,-0.0003372667124,733.0100708,0.001877523609,733.0100708,0.002296373248,733.0100708,0.0001281803416,
732.0124512,-0.0002608004725,732.0124512,0.00477551017,732.0124512,4.581840585E-6,732.0124512,-0.0002282542409,732.0124512,-0.0008292672574,732.0124512,-0.0004076679179,732.0124512,0.001687051146,732.0124512,0.002115263604,732.0124512,-8.831394371E-5,
731.0144653,-0.0001442644279,731.0144653,0.004974987824,731.0144653,7.872636343E-5,731.0144653,-0.0001228374313,731.0144653,-0.0005415590713,731.0144653,-0.0002571785881,731.0144653,0.001744563575,731.0144653,0.002290882403,731.0144653,7.610541161E-6,
730.0161133,-0.00027202809,730.0161133,0.005001199432,730.0161133,-9.90284243E-5,730.0161133,-0.0003054505214,730.0161133,-0.0007509753341,730.0161133,-0.0006145121297,730.0161133,0.001692144666,730.0161133,0.002285027411,730.0161133,6.127641245E-5,
