Wavelength (nm),BLANK,ELA_FISH927,ELA_FISH1013,ELA_FISH1012,ELA_FISH108,ELA_FISH118,ELA_FISH112,ELA_FISH117,ELA_FISH906,ELA_FISH916,ELA_CTL3-L224,ELA_CTL-L224,ELA_FISH911,ELA_FISH926,ELA_FISH929,ELA_FISH921,ELA_FISH928,ELA_FISH901,ELA_FISH907,ELA_FISH908,ELA_FISH912,ELA_FISH914,ELA_FISH919,ELA_FISH939,ELA_FISH113,ELA_FISH115,ELA_FISH120,ELA_FISH122,ELA_FISH1001,ELA_FISH1002,ELA_FISH1005,ELA_FISH1007,ELA_FISH1008
768.9501953,0.000733425,0.000515462,0.000201388,0.000628007,-0.000107983,0.000269039,0.007441251,0.00022133,0.000261916,0.001153664,0.000373825,-0.000229289,0.00035613,0.000591612,0.000903609,-8.18E-05,-0.000241863,-0.000126719,0.000448162,0.000931002,0.000120723,7.40E-05,-0.000429857,0.000256658,-0.000157151,0.000357581,0.000461455,-0.000100219,0.000201699,0.000924232,0.000368799,0.000638714,0.000551592
767.9664307,0.000173315,0.000522253,-9.64E-05,0.000327374,-0.000319212,-9.02E-05,0.007160181,7.03E-05,0.000193489,0.000986676,-0.000248848,-0.000383616,4.13E-05,0.000439352,0.00066272,-0.000262146,-0.000606189,-1.24E-06,7.83E-05,0.000443627,-0.000489435,-0.000382374,-7.05E-05,6.84E-05,-0.000148974,-0.000116264,0.000268857,-0.000186391,-0.000231825,0.000822425,0.000142241,0.000331286,0.000398853
766.9822998,9.93E-05,0.00037981,-0.000336077,0.000425048,-0.00017278,0.000195923,0.006993288,6.48E-05,-0.000107569,0.000746857,-0.000191203,-0.000489849,2.74E-06,0.000313204,6.13E-05,-0.000421478,-0.000330283,-0.000360442,-0.00043989,0.000457257,-0.000473352,-0.00062418,-0.000345595,-0.000168951,-0.0003592,-9.11E-05,9.66E-05,-0.000402651,-0.00019141,0.000404009,0.000111013,0.000181188,0.000402299
765.9978027,-2.60E-05,-0.00011761,-0.000178162,0.00016754,-0.000157979,-0.00044408,0.00711013,5.25E-06,-7.75E-05,0.001214091,-0.000212989,-0.000580235,-0.000450751,0.000548793,0.000221537,-0.000357338,-0.000684351,-0.000363184,-3.83E-05,0.000436761,-0.000642842,-0.000354338,-0.000599364,-0.000136191,-0.000529149,0.000113706,-0.000148767,-0.000288222,-0.000144161,0.000496492,-9.98E-05,-0.000225564,0.000459356
765.0129395,-0.000152856,0.000360923,-0.000226754,4.13E-05,-9.16E-05,-0.000204813,0.007013571,-0.000525064,-0.00037146,0.000883662,-0.000461353,-0.000585301,-0.000539594,-6.25E-05,8.03E-05,-0.000326506,-0.000794697,-0.000439839,-0.000282686,0.000265101,-0.000735677,-0.000756867,-0.000505983,-6.14E-05,-0.000665846,-0.000351907,-0.000215059,-0.000799244,-0.000339543,0.000371519,0.000110469,-7.40E-05,0.000265076
764.02771,0.00070008,0.000702388,-1.71E-05,0.000201051,0.000179841,0.000215735,0.006776869,-0.000113107,6.91E-06,0.000882935,-9.65E-05,-0.000163051,-0.000129204,0.00041997,0.000590083,-0.000255419,-0.000507793,-0.000281755,-0.000289671,0.000238916,-0.000688125,-0.000551125,-0.000373633,-2.64E-05,-0.000434977,-7.49E-05,0.000303075,-0.000211851,5.88E-05,0.000418208,0.00025456,4.78E-05,0.000646387
763.0421143,-3.11E-06,0.000203615,-0.000421995,1.25E-05,-0.000158341,-0.000313056,0.007031803,-0.000415323,-0.000122734,0.000688258,-0.000564672,-0.000671997,-0.00028636,0.000284632,0.000291004,-0.000652406,-0.000450906,-0.000105343,-0.000360649,0.000164096,-0.000855361,-0.000774594,-0.000429029,0.000124762,-0.000570463,-7.54E-05,0.000200585,-0.000667293,-0.000162999,0.000416083,7.77E-05,-9.32E-06,0.000441917
762.0561523,0.000392997,0.000410046,-0.000143436,0.000239667,-2.44E-05,0.000143794,0.007167391,2.60E-05,7.19E-05,0.001157998,-0.000134948,-0.000279168,-0.00014442,0.000370742,0.000529043,-8.86E-05,-0.000158445,-2.70E-05,0.000221226,0.000623989,-0.000436994,0.000117719,-1.98E-05,0.000445286,-0.00039903,1.20E-05,0.000446529,-3.19E-05,2.40E-05,0.000560301,0.000520983,6.97E-05,0.000828934
761.0698853,-0.000175523,-4.61E-06,-0.0005216,-0.000107672,-8.47E-05,-0.000269596,0.006878556,-0.00025811,-0.000541301,0.00049219,-0.000849936,-0.000722291,-0.001012823,-0.000192756,-0.000233066,-0.000527081,-0.000911006,-0.000674323,-0.000686988,-0.000130187,-0.001050785,-0.000859805,-0.000721722,-1.71E-05,-0.000791958,-0.00080467,-5.78E-05,-0.000612909,-0.000683783,0.000293024,-1.19E-05,-0.000216715,0.000404294
759.9421997,0.000174921,-9.00E-05,-0.000499002,0.000208795,-0.000205175,0.000174584,0.006602686,-0.000632348,-0.000342181,0.000466068,-0.000607584,-0.000424891,-0.000312693,0.000333695,0.000175491,-0.000558467,-0.000847921,-0.000385944,-0.00078033,-6.47E-05,-0.0010528,-0.000567515,-0.00065468,6.53E-05,-0.000790511,-0.000605155,-0.000223752,-0.000376064,-0.000376581,0.000490454,0.000240107,-5.06E-05,0.000192712
