Wavelength (nm),BLANK,ELA_FISH109,ELA_FISH930,ELA_FISH903,ELA_FISH1010,ELA_FISH105,ELA_FISH913,ELA_FISH909,ELA_CTL2-L222-224,ELA_FISH948,ELA_FISH944,ELA_CTL1-L239,ELA_CTL2-L239
710.9520264,-0.003898633,-0.003589282,-0.003334841,-0.002218137,-0.002735229,-0.002430042,-0.002705852,-0.003251604,-0.003294508,-0.002623884,-0.003374295,0.000187325,-0.002733326
709.9468994,-0.003991339,-0.00363046,-0.003574956,-0.002393436,-0.002726329,-0.00264421,-0.002790171,-0.003454068,-0.003416521,-0.002720207,-0.003465008,0.000614942,-0.002908982
708.9414063,-0.003980002,-0.003666551,-0.003537985,-0.002499024,-0.002813473,-0.002490273,-0.002766096,-0.00343193,-0.003460231,-0.00275946,-0.003489044,0.000623782,-0.003069249
707.9356079,-0.003687701,-0.00338534,-0.003343369,-0.002195989,-0.002502936,-0.002145093,-0.002428601,-0.00304776,-0.003164444,-0.002507157,-0.003242662,0.000522175,-0.002678171
706.9294434,-0.004009293,-0.003662238,-0.003528125,-0.002307959,-0.002922353,-0.002398327,-0.002644673,-0.003458125,-0.003384364,-0.002632581,-0.003460385,-0.000583647,-0.002912788
706.0668335,-0.004267493,-0.003933881,-0.003763977,-0.002617091,-0.003108779,-0.002817742,-0.002855136,-0.0037823,-0.003677588,-0.002808227,-0.003817095,-0.001798865,-0.002791972
705.0600586,-0.00396887,-0.003556882,-0.003501369,-0.002295651,-0.002889183,-0.002587912,-0.002610659,-0.003256896,-0.003315625,-0.002600006,-0.003322048,-0.002691189,-0.002885891
704.0529785,-0.004016218,-0.003746629,-0.003564327,-0.002314705,-0.003172822,-0.002424894,-0.002576384,-0.003459666,-0.003526738,-0.002734715,-0.003593801,-0.00328973,-0.002732554
703.0455322,-0.004115976,-0.00375094,-0.003544609,-0.002237916,-0.00288584,-0.002587963,-0.002753235,-0.003505426,-0.003416366,-0.002681052,-0.003325439,-0.003372497,-0.002698546
702.0377808,-0.004202996,-0.003655565,-0.003556214,-0.002459335,-0.003109447,-0.002404248,-0.002658721,-0.003460745,-0.003498442,-0.002591412,-0.003493152,-0.003487143,-0.002866605
701.0297241,-0.004119515,-0.003740059,-0.003480364,-0.002461909,-0.002926313,-0.00237593,-0.002537937,-0.003409329,-0.003351743,-0.002614724,-0.003517495,-0.003407274,-0.002867428
