Wavelength (nm),BLANK,ELA_FISH946,ELA_FISH1004,ELA_FISH949,ELA_FISH1015,ELA_FISH932,ELA_FISH922,ELA_FISH1011,ELA_FISH947
715.000061,5.53E-05,0.005398305,0.000588943,0.000294708,-8.94E-05,0.000128491,0.002093336,0.002362607,0.000532516
713.9962769,7.40E-05,0.00540145,0.00042168,0.000447255,-0.000387754,1.35E-05,0.00230621,0.002252422,0.000603122
712.9921875,0.000123416,0.005476994,0.000517899,0.000449717,-0.000321023,0.000100553,0.002172078,0.002139196,0.000498565
711.9876709,6.20E-05,0.005472406,0.000494807,0.000606025,-0.000275081,1.15E-05,0.002251095,0.002191981,0.000534252
710.9829102,6.97E-05,0.005600481,0.000663654,0.000580777,-0.000264371,0.000175309,0.002368594,0.002291923,0.000575775
709.9777832,-0.000153891,0.005432064,0.000645143,0.000801392,-6.75E-05,0.00015581,0.002347069,0.002211286,0.000593142
708.97229,-7.29E-05,0.005551266,0.000740244,0.00067895,-0.000164086,0.000160859,0.002321669,0.002192371,0.000554624
707.9664917,-3.17E-05,0.005563222,0.000667076,0.000846571,-0.00023524,8.95E-05,0.002568922,0.002178634,0.000622123
706.9603271,-0.000109277,0.005577486,0.000643302,0.000841643,-0.000335197,5.09E-05,0.002440774,0.002247531,0.000512275
705.9538574,-1.23E-05,0.00568794,0.000743175,0.000825848,-0.000129825,0.000122328,0.002369687,0.002290388,0.000704203
704.9470825,0.000175465,0.005797295,0.000825926,0.000716649,-9.34E-05,0.000322581,0.002490263,0.002445954,0.000629304
703.9399414,1.73E-05,0.005791708,0.000686624,0.000532905,-0.000146645,0.000379654,0.002531895,0.002256872,0.000539099
702.9324951,-0.000107983,0.005745828,0.000660698,0.000522019,-0.000397478,0.000376856,0.00257814,0.002300875,0.000470888
702.0686646,-7.13E-05,0.005941002,0.000806242,0.000488588,-0.000224011,0.000243552,0.002632801,0.002592592,0.000569761
701.0606079,-7.75E-05,0.005934888,0.000649136,0.000413285,-0.000187426,0.000339498,0.002580588,0.002488649,0.000625052
700.0521851,-0.000129566,0.00584667,0.000770584,0.000429687,-0.000164448,0.000365379,0.00281345,0.002550226,0.000586584
699.043396,-6.75E-05,0.005740896,0.000798539,0.000442643,-0.000281703,0.000323462,0.002839401,0.002491878,0.000628707
698.0343628,-0.000106327,0.005952601,0.00064268,0.00045065,-0.00026494,0.000543479,0.002695414,0.002750247,0.000659661
697.0249023,-0.00027684,0.005585614,0.000661605,0.000329135,-0.000411858,0.000309681,0.002594858,0.002625926,0.000629122
696.0151978,-0.000461819,0.005869995,0.000493848,0.000195716,-0.000276892,0.00033556,0.002511665,0.002600613,0.000437642
695.005127,-0.000117869,0.005980158,0.000562348,0.000466794,-0.000209884,0.00040901,0.002683407,0.002646995,0.000607425
693.994751,-0.000110312,0.006140438,0.000812336,0.000493797,-0.000165742,0.000596849,0.003027251,0.00294619,0.000888824
692.9840088,-0.000190686,0.006153618,0.000719579,0.000480088,-0.000252729,0.000311649,0.002609259,0.0028184,0.00076003
691.9729614,-0.000381702,0.006051182,0.000531842,0.00036499,-0.000165069,0.00044412,0.002828614,0.003011246,0.000636381
690.9616089,0.000139729,0.006248279,0.000847323,0.000597134,-0.000229134,0.000467804,0.002909496,0.003094979,0.001064752
689.9498901,-6.28E-05,0.005990813,0.000570565,0.000363306,-0.000380719,0.000517665,0.002789194,0.002942229,0.000563748
688.9378662,-0.00015741,0.006180163,0.00066272,0.000181395,-0.000308141,0.000468374,0.002786432,0.003231743,0.000662513
688.0701904,-3.91E-05,0.006268317,0.000521371,0.000558642,-0.000314763,0.000868202,0.002762934,0.003303493,0.000906774
687.0575562,2.78E-05,0.005851209,0.000692017,0.000301702,-0.000298518,0.00026694,0.002610353,0.003259232,0.000542469
686.0445557,-0.000228772,0.006048741,0.000552758,0.00036955,-0.000437304,0.000277405,0.002586655,0.003127621,0.000780049
685.031311,-0.000225046,0.006099877,0.000577278,0.000658391,-0.000363649,0.000363902,0.002765799,0.003084707,0.000619556
684.0177002,2.80E-05,0.006203874,0.000811065,0.000562478,-0.000266595,0.000174506,0.002781118,0.003153616,0.000921819
683.0037842,-0.00032692,0.006203848,0.00075697,0.000660076,-0.000411858,-3.56E-05,0.0027751,0.003180005,0.000731247
681.989502,-9.93E-05,0.006428205,0.000956504,0.000674828,-0.000300277,0.000295356,0.00295466,0.003389734,0.000785495
680.9749756,-0.000295465,0.006203664,0.000541717,0.000484856,-0.000469525,5.02E-05,0.002898186,0.003107206,0.000715067
679.960083,-0.000339853,0.006142801,0.000588865,0.000588709,-0.000414133,-8.54E-06,0.002744646,0.003315518,0.000859902
678.9448853,-0.000304778,0.00597092,0.000733166,0.000362503,-0.000641808,-0.000327541,0.002495054,0.002981297,0.000481409
677.9293213,-0.000311917,0.006441052,0.000504241,0.000469411,-0.000407202,-2.02E-05,0.002700598,0.003079962,0.000619919
677.0585938,-6.53E-05,0.006438188,0.000592468,0.000779738,-0.000158497,0.000197037,0.002964721,0.003128559,0.00090597
676.0424805,-0.000277564,0.006426918,0.000919536,0.000841747,-0.000118076,0.000318592,0.003203318,0.003115184,0.001086316
675.026062,-3.06E-05,0.006534199,0.000823021,0.00086994,-0.00017956,0.00018761,0.003015234,0.002830203,0.001082216
674.0092773,-0.000263439,0.006475865,0.00089798,0.000490194,-0.00026018,-0.000133344,0.003166628,0.002899385,0.000943766
672.9921875,-0.000206469,0.006435298,0.000773773,0.00077813,-9.07E-05,2.66E-05,0.003273941,0.002739358,0.000559368
